layer,real_accuracy,real_std,shuffled_mean,shuffled_std,chance,n_shuffles,stage,model
0,0.9961538461538462,0.007692307692307709,0.43146153846153845,0.0139502497273569,0.25,10,encoder,llava-next-video
3,0.7915384615384615,0.03999999999999999,0.44630769230769235,0.007456382040647803,0.25,10,encoder,llava-next-video
6,1.0,0.0,0.4222307692307693,0.019736279032765314,0.25,10,encoder,llava-next-video
9,1.0,0.0,0.4186923076923077,0.006315661007724942,0.25,10,encoder,llava-next-video
12,1.0,0.0,0.4106923076923077,0.015569846445716642,0.25,10,encoder,llava-next-video
15,1.0,0.0,0.4205384615384616,0.007623150663308625,0.25,10,encoder,llava-next-video
18,1.0,0.0,0.4195384615384616,0.0127896037662252,0.25,10,encoder,llava-next-video
21,1.0,0.0,0.4175384615384615,0.01733348505471453,0.25,10,encoder,llava-next-video
