model,threshold_ms,slope
internvl2.5,14999.999999999727,0.013167604344974465
llava-next-video,14999.999999999998,0.4869458405822764
molmo2,14999.99999746731,0.010000000000000002
qwen2.5-vl,14999.999999843709,0.010000000000000002
video-llama2,14999.999999997806,0.010000000000000002
