layer,accuracy,std,stage
0,0.9969230769230769,0.0028781979898260986,llm
3,0.9815384615384616,0.03503168472841755,llm
6,0.95,0.09999999999999999,llm
9,0.9392307692307693,0.12153846153846154,llm
12,0.9892307692307692,0.02153846153846155,llm
15,0.9892307692307692,0.02153846153846155,llm
18,0.976923076923077,0.04615384615384617,llm
21,0.9753846153846155,0.04923076923076923,llm
24,0.9692307692307691,0.061538461538461535,llm
27,0.9715384615384615,0.05692307692307694,llm
