layer,real_accuracy,real_std,shuffled_mean,shuffled_std,chance,n_shuffles,stage,model
0,1.0,0.0,0.42261538461538467,0.01716332956208686,0.25,10,llm,internvl2.5
4,1.0,0.0,0.3915384615384615,0.023123030861308347,0.25,10,llm,internvl2.5
8,1.0,0.0,0.3489999999999999,0.03725658672554251,0.25,10,llm,internvl2.5
12,1.0,0.0,0.3596923076923077,0.03471472923753694,0.25,10,llm,internvl2.5
16,1.0,0.0,0.32884615384615384,0.03390772371909754,0.25,10,llm,internvl2.5
20,1.0,0.0,0.32969230769230773,0.04649387565446424,0.25,10,llm,internvl2.5
24,1.0,0.0,0.34307692307692306,0.021113948388874277,0.25,10,llm,internvl2.5
28,1.0,0.0,0.34523076923076923,0.03762757392560178,0.25,10,llm,internvl2.5
31,1.0,0.0,0.3496923076923077,0.03198039340174192,0.25,10,llm,internvl2.5
