model,threshold_ms,slope
internvl2.5,14999.155077224668,0.010000000000000037
llava-next-video,14999.155077224668,0.010000000000000037
molmo2,50.00000000000001,0.8895241024340541
qwen2.5-vl,14999.996395136579,0.010000000000000002
video-llama2,14999.999999999998,0.052227362305969395
videochat-flash,50.00000000000164,0.046086238178026644
