layer,accuracy,std,stage
0,0.8769230769230768,0.049374789341172974,encoder
3,0.8823076923076923,0.09448082990181082,encoder
6,0.9823076923076922,0.02328114761603317,encoder
9,1.0,0.0,encoder
12,1.0,0.0,encoder
15,1.0,0.0,encoder
18,1.0,0.0,encoder
21,1.0,0.0,encoder
