layer,accuracy,std,stage
0,1.0,0.0,encoder
3,1.0,0.0,encoder
6,1.0,0.0,encoder
9,1.0,0.0,encoder
12,1.0,0.0,encoder
15,1.0,0.0,encoder
18,1.0,0.0,encoder
21,1.0,0.0,encoder
