layer,accuracy,std,stage
0,1.0,0.0,llm
4,1.0,0.0,llm
8,1.0,0.0,llm
12,1.0,0.0,llm
16,1.0,0.0,llm
20,1.0,0.0,llm
24,1.0,0.0,llm
28,1.0,0.0,llm
31,1.0,0.0,llm
