layer,accuracy,std,stage
0,0.8438461538461539,0.11895999029060496,encoder
3,0.8792307692307691,0.1105553490659796,encoder
6,0.8807692307692306,0.11061955699844647,encoder
9,1.0,0.0,encoder
12,1.0,0.0,encoder
15,1.0,0.0,encoder
18,1.0,0.0,encoder
21,1.0,0.0,encoder
