layer,real_accuracy,real_std,shuffled_mean,shuffled_std,chance,n_shuffles,stage,model
0,0.46153846153846156,0.0,0.46153846153846156,0.0,0.25,10,llm,video-llama2
4,0.46153846153846156,0.0,0.46153846153846156,0.0,0.25,10,llm,video-llama2
8,0.46153846153846156,0.0,0.46153846153846156,0.0,0.25,10,llm,video-llama2
12,0.46153846153846156,0.0,0.46153846153846156,0.0,0.25,10,llm,video-llama2
16,0.46153846153846156,0.0,0.46153846153846156,0.0,0.25,10,llm,video-llama2
20,0.46153846153846156,0.0,0.46153846153846156,0.0,0.25,10,llm,video-llama2
24,0.46153846153846156,0.0,0.46153846153846156,0.0,0.25,10,llm,video-llama2
28,0.46153846153846156,0.0,0.46153846153846156,0.0,0.25,10,llm,video-llama2
31,0.46153846153846156,0.0,0.46153846153846156,0.0,0.25,10,llm,video-llama2
