layer,real_accuracy,real_std,shuffled_mean,shuffled_std,chance,n_shuffles,stage,model
0,1.0,0.0,0.45269230769230767,0.009011826549123062,0.25,10,encoder,molmo2
3,1.0,0.0,0.44038461538461543,0.015926049518145968,0.25,10,encoder,molmo2
6,1.0,0.0,0.44530769230769235,0.011218380944054147,0.25,10,encoder,molmo2
9,1.0,0.0,0.44038461538461543,0.014293003212355408,0.25,10,encoder,molmo2
12,1.0,0.0,0.4363846153846154,0.0075136955821869045,0.25,10,encoder,molmo2
15,1.0,0.0,0.43899999999999995,0.007769230769230772,0.25,10,encoder,molmo2
18,1.0,0.0,0.44207692307692315,0.012700696528446473,0.25,10,encoder,molmo2
21,1.0,0.0,0.438,0.012231494898646736,0.25,10,encoder,molmo2
