layer,accuracy,std,stage
0,1.0,0.0,encoder
3,0.923076923076923,0.15384615384615383,encoder
6,0.923076923076923,0.15384615384615383,encoder
9,0.9446153846153846,0.11076923076923077,encoder
12,0.9476923076923077,0.1046153846153846,encoder
15,0.923076923076923,0.15384615384615383,encoder
18,0.923076923076923,0.15384615384615383,encoder
21,0.9476923076923077,0.1046153846153846,encoder
