model,33,67,100,200,333,500,1000,1500,2000,3000,5000,7000,10000
Molmo2,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.390,0.490,0.000,0.230,0.910
VideoChat-Flash,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Qwen2.5-VL,1.000,1.000,1.000,0.420,0.350,0.290,1.000,0.860,0.000,0.000,0.000,0.000,0.000
InternVL2.5,0.750,0.700,0.600,0.280,0.330,0.120,1.000,0.870,0.000,0.000,0.000,0.000,0.000
LLaVA-NeXT-Video,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000
Video-LLaMA2,0.610,0.650,0.710,0.840,0.820,0.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000
VideoLLaMA3,,,,,,,,,,,,,
