layer,real_accuracy,real_std,shuffled_mean,shuffled_std,chance,n_shuffles,stage,model
0,0.8438461538461539,0.11895999029060496,0.4430769230769231,0.009886934777267448,0.25,10,encoder,qwen2.5-vl
3,0.8669230769230769,0.12234397139736028,0.4237692307692308,0.006253519718985438,0.25,10,encoder,qwen2.5-vl
6,0.8669230769230769,0.12234397139736028,0.4357692307692308,0.012168686168889527,0.25,10,encoder,qwen2.5-vl
9,1.0,0.0,0.3690769230769231,0.02804856312703246,0.25,10,encoder,qwen2.5-vl
12,1.0,0.0,0.39884615384615385,0.020738581373769268,0.25,10,encoder,qwen2.5-vl
15,1.0,0.0,0.38476923076923075,0.01459026180865068,0.25,10,encoder,qwen2.5-vl
18,1.0,0.0,0.3883846153846154,0.02487471566249433,0.25,10,encoder,qwen2.5-vl
21,1.0,0.0,0.3753846153846153,0.020322838174804486,0.25,10,encoder,qwen2.5-vl
