layer,real_accuracy,real_std,shuffled_mean,shuffled_std,chance,n_shuffles,stage,model
0,1.0,0.0,0.45638461538461544,0.0065817571078868415,0.25,10,encoder,videochat-flash
3,1.0,0.0,0.41569230769230775,0.017793024362831946,0.25,10,encoder,videochat-flash
6,1.0,0.0,0.376,0.028027459063184122,0.25,10,encoder,videochat-flash
9,1.0,0.0,0.3362307692307692,0.028011937438407464,0.25,10,encoder,videochat-flash
12,1.0,0.0,0.3455384615384615,0.023971877013992136,0.25,10,encoder,videochat-flash
15,1.0,0.0,0.3504615384615385,0.02698498377083865,0.25,10,encoder,videochat-flash
18,1.0,0.0,0.3736153846153846,0.03802218287437671,0.25,10,encoder,videochat-flash
21,1.0,0.0,0.3674615384615384,0.03292819873891295,0.25,10,encoder,videochat-flash
