layer,real_accuracy,real_std,shuffled_mean,shuffled_std,chance,n_shuffles,stage,model
0,1.0,0.0,0.44361538461538463,0.018082814097381886,0.25,10,encoder,videollama3
3,0.923076923076923,0.15384615384615383,0.4077692307692308,0.017417429888055398,0.25,10,encoder,videollama3
6,0.923076923076923,0.15384615384615383,0.39353846153846156,0.020880613017821088,0.25,10,encoder,videollama3
9,0.9446153846153846,0.11076923076923077,0.3793076923076923,0.020060411719184493,0.25,10,encoder,videollama3
12,0.9476923076923077,0.1046153846153846,0.3811538461538461,0.021431741101161587,0.25,10,encoder,videollama3
15,0.923076923076923,0.15384615384615383,0.3833076923076923,0.015980942792725928,0.25,10,encoder,videollama3
18,0.9476923076923077,0.1046153846153846,0.38084615384615383,0.03293610453967684,0.25,10,encoder,videollama3
21,0.9476923076923077,0.1046153846153846,0.37553846153846154,0.024989465235996253,0.25,10,encoder,videollama3
