layer,real_accuracy,real_std,shuffled_mean,shuffled_std,chance,n_shuffles,stage,model
0,0.8676923076923077,0.04495888983446912,0.4453846153846155,0.013734593305024995,0.25,10,encoder,internvl2.5
3,0.8707692307692309,0.09750132755885758,0.4447692307692309,0.010657663853611075,0.25,10,encoder,internvl2.5
6,0.976923076923077,0.028263343185959754,0.4430769230769231,0.012000986152773159,0.25,10,encoder,internvl2.5
9,1.0,0.0,0.4309230769230769,0.008903160797680172,0.25,10,encoder,internvl2.5
12,1.0,0.0,0.42092307692307696,0.020873810776457682,0.25,10,encoder,internvl2.5
15,1.0,0.0,0.4306153846153847,0.020550990128611127,0.25,10,encoder,internvl2.5
18,1.0,0.0,0.4349230769230769,0.01162633207994404,0.25,10,encoder,internvl2.5
21,1.0,0.0,0.4336153846153846,0.01688124199699024,0.25,10,encoder,internvl2.5
